# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
254416,1,12,262139,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/262139
254416,40,8,50,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/50
254608,1,7,50,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/50
254608,515,8,50,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/50
254608,656,9,50,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/50
257612,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257613,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
260478,1,2,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272612,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
272617,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
272674,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
272674,21,11,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272761,1,11,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
251161,1,10,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/0,ONE,L1_Mu20_EG10/65537
251167,1,7,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
251252,1,7,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
251493,1,10,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/0,ONE,L1_Mu20_EG10/65537
251493,6,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
251499,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
251521,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
251548,1,10,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/0,ONE,L1_Mu20_EG10/65537
251548,28,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254280,1,11,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
254283,5,1,50,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/50
254283,9,11,50,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/50
254284,43,11,50,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/50
254437,1,1,50,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/50
254437,4,12,262139,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/262139
254437,54,9,50,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/50
254437,65,8,50,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/50
254450,1,8,50,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/50
254458,1,8,50,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/50
256730,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257487,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257487,13,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257821,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257968,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
