#Data tag : v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
274314:4979,06/01/16 15:02:56,61,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,10.854,9.757
274315:4979,06/01/16 15:32:32,423,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,71.695,68.196
274316:4979,06/01/16 18:20:25,959,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,138.675,134.065
274317:4979,06/02/16 00:39:53,3,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,0.397,0.310
274319:4979,06/02/16 00:56:19,225,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,29.056,28.103
274335:4980,06/02/16 09:10:43,944,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,152.993,146.492
274336:4980,06/02/16 15:25:02,14,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,2.062,1.790
274337:4980,06/02/16 15:33:18,15,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,2.199,1.831
274338:4980,06/02/16 15:41:22,698,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,97.017,91.494
274339:4980,06/02/16 20:15:40,90,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,11.605,11.141
274344:4980,06/02/16 21:29:06,627,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,74.469,71.996
274345:4980,06/03/16 01:37:46,170,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,18.842,18.267
274382:4984,06/03/16 15:37:56,51,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,8.189,7.623
274387:4985,06/03/16 19:10:09,352,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,63.274,59.661
274388:4985,06/03/16 21:32:38,1820,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,270.811,261.039
274420:4988,06/04/16 20:17:21,175,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,30.261,28.799
274421:4988,06/04/16 21:28:04,342,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,57.589,55.267
274422:4988,06/04/16 23:46:51,2207,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,293.872,284.958
